General Government Debt (Percent of GDP);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Albania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24.629.863;29.359.587;3.469.009;51.409.342;57.010.236;57.789.526;63.018.746;59.899.958;63.343.117;59.536.068;56.798.357;57.518.871;56.021.438;52.920.536;54.491.346;58.964.788;57.040.754;58.713.917;6.141.363;69.563.244;7.114.565;7.284.941;72.462.094;7.104.928;68.655.032;66.575.406;75.380.942;74.794.583;65.197.886;58.364.757;55.652.641
Australia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17.016.497;16.406.689;21.607.126;27.631.688;30.665.034;31.709.047;31.143.021;29.345.241;25.907.213;23.698.221;22.543.955;19.495.351;17.105.665;15.010.398;13.186.322;11.907.291;10.858.112;99.377.855;96.654.472;11.741.729;16.622.245;20.349.581;24.040.466;27.521.471;30.466.475;34.036.272;37.725.806;40.620.637;41.195.415;41.758.013;46.720.395;57.091.508;55.536.795;50.221.601;48.972.781;49.828.052
Austria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18.649.735;17.389.201;16.681.548;1.669.436;16.821.684;22.841.119;26.188.977;28.489.775;32.150.983;34.129.521;35.591.785;37.474.346;39.710.841;43.651.391;46.006.996;47.767.071;51.950.128;55.490.768;57.680.598;56.641.837;56.239.482;56.443.053;56.336.007;60.962.443;64.071.427;68.238.169;68.180.321;63.373.173;69.196.552;61.339.556;66.108.882;67.238.356;6.744.032;66.411.818;65.912.064;69.427.592;68.176.417;65.813.112;6.952.806;80.752.328;8.365.397;83.356.075;82.935.499;82.430.835;8.520.981;85.614.769;83.419.065;79.057.183;74.586.245;71.005.856;83.183.042;82.394.523;78.343.932;78.404.244;81.205.646
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9.222.745;81.150.967;12.274.158;15.813.183;2.029.503;32.546.849;36.805.213;58.223.333;36.946.222;36.859.473;38.790.605;53.006.888;5.348.163;53.159.846;47.515.236;40.999.215;47.493.317;4.118.201;4.079.221;40.719.905;44.377.985
Belgium;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66.596.594;63.530.067;64.934.534;63.749.018;61.749.869;59.520.324;61.381.489;61.634.355;65.154.347;69.199.449;76.796.468;89.685.638;99.633.508;11.028.688;11.461.184;11.938.722;12.466.971;12.922.713;12.968.559;12.640.723;13.030.699;13.179.659;13.468.337;13.892.523;13.708.275;13.128.605;12.900.396;1.242.712;1.191.859;11.536.185;10.958.904;10.821.685;10.543.668;10.165.931;97.169.665;9.514.187;91.494.413;87.324.624;93.159.779;99.853.049;10.024.502;10.273.534;10.433.474;10.502.132;10.652.412;10.552.513;10.540.368;1.023.996;99.977.366;97.461.028;11.109.844;10.837.017;10.255.508;10.312.131;10.446.778
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54.397.341;56.038.876;34.599.347;35.127.792;31.118.246;27.563.432;25.486.874;24.861.039;20.576.926;18.168.645;30.321.124;36.368.137;4.220.547;40.940.843;43.557.458;43.754.609;47.140.103;46.375.576;4.487.429;38.615.913;3.489.422;33.168.017;37.098.361;3.561.778;3.101.327;31.587.913;32.752.304
Brazil;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;67.330.659;76.095.054;7.151.364;68.025.064;66.968.516;64.598.819;63.024.659;61.420.078;64.701.584;62.433.202;6.063.371;61.614.255;59.594.682;61.617.149;71.729.677;77.422.191;82.744.953;84.777.046;87.118.481;96.006.839;88.934.272;83.938.835;84.000.518;87.283.842
Bulgaria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96.226.652;67.454.552;75.344.999;70.717.102;64.505.119;5.100.545;43.378.565;35.728.001;26.581.739;20.872.088;16.315.904;13.017.411;13.663.296;15.296.391;15.151.927;16.579.418;16.995.402;2.700.609;25.921.783;29.102.531;25.108.936;22.139.583;20.080.731;24.440.489;23.838.633;22.484.552;22.886.156;24.078.302
Cambodia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29.373.641;30.131.024;31.409.595;37.158.452;34.647.175;34.851.729;33.509.059;37.830.333;39.782.035;3.874.421;31.669.666;26.728.954;25.067.753;22.954.373;23.681.737;23.401.836;23.794.783;24.861.497;24.397.328;24.174.133;23.263.543;21.789.669;22.640.923;21.088.535;20.835.364;2.522.668;25.941.931;2.504.324;25.731.654;26.622.141
Canada;87.749.903;76.520.917;70.054.312;67.192.534;68.277.314;66.456.116;58.404.764;57.632.371;63.096.356;64.175.397;64.874.549;67.360.435;66.641.207;65.377.952;62.025.052;58.308.955;57.071.468;57.024.001;56.320.384;54.425.403;5.674.467;57.892.179;56.689.727;52.330.526;49.502.748;49.877.217;42.836.137;44.299.541;47.117.918;44.161.177;44.589.724;4.607.713;51.706.678;57.211.249;60.212.917;65.166.256;6.932.348;6.976.068;697.445;70.986.777;73.744.251;81.658.172;88.229.988;94.730.248;97.480.466;10.008.417;10.024.388;95.272.492;93.290.188;88.965.669;80.436.608;81.462.033;79.604.069;75.911.797;718.894;7.064.041;69.919.832;67.181.353;7.035.535;81.804.123;83.976.212;84.286.296;87.150.948;8.760.508;85.540.514;92.028.852;92.396.824;90.942.246;90.776.119;90.210.165;11.806.558;11.261.731;10.420.738;10.771.072;11.076.918
Chile;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43.136.493;36.961.679;30.290.659;27.969.412;22.568.587;17.214.625;14.584.476;12.779.823;12.115.297;13.277.007;1.314.564;14.348.084;1.504.533;12.573.018;10.314.065;70.396.205;50.223.977;39.012.603;49.159.891;58.449.264;86.073.275;1.112.689;11.939.073;12.784.064;15.019.748;1.737.466;21.100.505;23.651.639;25.798.028;28.329.642;32.380.101;36.447.857;37.907.331;3.941.519;41.980.756
China. People's Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21.423.797;21.220.679;20.394.346;20.438.078;21.609.056;22.707.831;24.252.332;25.553.138;2.641.798;25.999.898;25.910.046;25.173.645;28.707.723;26.715.032;33.984.778;33.343.159;33.184.085;33.825.236;36.437.679;39.307.847;40.781.626;4.971.999;53.903.251;55.577.191;59.441.472;69.035.362;70.146.806;75.453.183;82.013.641;88.327.128
Colombia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;23.276.291;25.252.401;27.442.235;33.968.611;37.972.177;4.107.851;47.526.084;45.021.342;41.465.506;38.532.609;35.969.176;32.663.251;32.382.419;35.386.764;3.649.704;35.783.449;33.966.527;37.592.206;43.318.837;5.037.476;49.904.076;49.448.557;51.761.259;50.971.504;65.274.227;64.416.601;61.299.782;55.456.568;61.276.566
Congo. Dem. Rep. of the;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;268.185;228.385;276.462;313.345;373.196;39.876;478.222;388.873;363.547;314.369;332.162;395.615;390.122;838.047;592.411;729.381;784.661;984.783;865.102;985.557;120.533;119.099;123.159;976.766;162.721;171.187;129.964;136.934;257.925;no data;13.498.226;18.541.066;13.604.229;11.446.404;16.408.604;11.199.821;10.754.943;85.089.009;80.300.868;9.161.682;31.796.115;29.320.681;25.128.495;23.827.825;22.774.442;25.483.497;32.979.113;23.179.812;19.288.227;19.392.913;24.856.474;24.685.264;22.603.115;25.060.587;19.309.748
Costa Rica;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;26.086.626;28.199.326;29.991.697;34.120.779;35.387.792;3.783.697;40.204.355;44.385.987;47.434.115;52.255.879;56.922.402;67.380.816;68.144.073;63.498.513;61.602.525;60.170.254
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2.332.914;30.007.212;35.433.531;36.589.012;36.452.753;37.845.063;3.995.689;40.900.522;38.372.452;37.078.143;38.914.925;47.913.524;56.800.773;63.132.247;68.853.367;79.479.874;83.223.614;82.768.207;79.256.449;76.171.385;72.846.966;70.883.708;86.468.699;78.200.936;68.543.709;61.836.026;57.647.263
Cyprus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8.428.949;8.715.105;990.906;103.789;1.364.084;15.247.914;20.031.032;18.442.451;21.361.395;23.361.516;27.850.003;30.743.621;33.162.136;41.720.267;42.958.446;44.005.942;4.708.563;47.966.966;48.758.972;47.476.218;47.151.864;52.935.957;52.136.783;54.532.967;49.867.506;45.820.391;47.092.049;50.962.785;54.657.631;54.843.973;57.606.418;5.908.434;62.567.989;64.465.879;66.108.325;65.425.302;60.728.125;5.478.317;46.290.821;56.842.156;59.313.194;69.129.474;83.610.325;1.075.015;11.271.486;11.159.663;10.692.185;96.478.998;10.071.855;9.229.267;11.360.195;96.480.154;80.953.563;73.646.458;65.324.128
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;13.476.376;11.506.143;12.123.598;13.876.998;15.087.848;16.894.528;22.596.885;25.703.152;28.061.586;28.288.733;27.677.815;27.564.803;2.734.598;28.154.947;33.430.499;3.670.009;39.401.957;43.835.303;44.141.092;4.154.618;39.469.493;36.232.214;33.781.826;31.677.756;29.551.736;36.882.939;40.692.005;42.520.375;42.449.171;4.298.805
Denmark;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10.580.173;10.715.041;93.832.142;74.233.088;69.656.805;1.117.437;13.720.674;16.935.556;20.546.112;25.328.146;45.750.444;55.938.722;67.916.415;79.066.284;80.337.738;77.814.061;7.530.272;71.877.688;70.145.489;68.313.378;69.404.483;70.245.584;66.748.112;78.673.354;7.530.654;71.453.829;6.831.606;64.388.165;60.318.608;56.788.828;53.552.572;50.096.446;50.319.806;48.162.303;46.215.143;39.359.931;33.191.019;29.482.647;3.553.918;43.048.747;46.123.275;49.986.205;4.871.121;47.769.891;48.712.443;44.550.356;41.691.946;40.152.558;38.538.748;38.334.642;46.278.416;40.487.225;34.076.839;33.588.568;27.993.064
Egypt;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;48.783.376;50.934.511;50.490.213;5.312.886;52.420.768;72.140.081;71.523.873;74.498.042;97.732.599;12.200.954;11.574.193;12.140.054;12.775.311;11.792.797;11.699.225;11.391.374;11.604.047;95.642.881;90.254.653;8.322.475;86.931.991;12.241.254;12.983.197;1.134.031;10.573.819;97.510.652;88.133.637;80.190.669;76.415.599;73.303.935;69.469.755;76.625.465;85.776.013;97.094.864;96.511.849;98.262.557;85.924.229;76.267.557;66.760.615;69.450.038;69.589.541;72.829.976;69.861.625;7.981.205;80.874.041;83.753.677;91.586.298;97.800.323;87.949.081;80.092.066;86.222.475;89.902.601;88.533.527;95.929.532;90.925.082
El Salvador;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43.329.259;36.360.822;31.868.472;30.549.341;28.040.955;28.547.973;27.790.849;25.652.232;2.799.492;295.513;37.842.448;43.799.845;45.962.141;46.813.034;46.286.297;52.558.957;5.219.704;54.211.737;65.778.377;66.794.161;65.597.504;69.993.538;69.654.804;71.791.097;73.463.793;75.213.939;77.135.808;76.960.899;77.906.137;95.365.187;87.955.125;83.346.015;84.683.739;87.584.021
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;86.590.098;72.978.961;60.334.512;53.982.726;59.327.435;51.137.137;49.325.993;56.601.652;55.986.701;51.586.871;4.733.175;47.166.197;39.080.219;46.729.872;79.759.194;79.902.264;75.965.275;11.146.951;1.143.492;11.563.137;10.789.643;10.239.326;94.344.783;85.069.187;9.047.115;19.095.612;18.418.603;19.112.143;20.183.682;2.361.853
Ethiopia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7.360.249;80.514.374;82.784.273;81.100.798;76.720.378;10.942.378;13.533.486;14.270.992;15.864.701;1.729.675;18.543.547;30.648.862;48.806.334;55.217.894;65.355.375;67.694.989;75.708.571;82.286.975;84.317.615;8.470.365;91.614.546;89.256.378;88.934.283;12.989.762;14.479.201;13.821.098;12.895.956;7.743.302;86.010.233;94.255.795;93.632.601;97.324.758;10.736.278;10.369.073;10.310.411;78.238.785;79.631.148;55.703.958;56.056.028;29.960.088;39.436.001;44.564.936;39.358.315;44.103.875;4.415.245;5.074.312;51.803.215;55.278.048;58.448.871;54.698.545;53.697.265;53.771.685;46.927.122;38.737.322;32.296.546
Finland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12.657.802;10.733.665;11.432.127;12.820.592;13.018.718;13.907.527;13.946.668;14.322.455;14.302.894;13.646.678;11.974.829;10.813.977;98.419.417;80.319.899;6.375.619;67.634.159;70.919.399;82.194.047;10.650.997;11.046.546;10.893.435;11.543.959;13.851.155;15.379.206;15.179.735;15.837.202;16.442.756;17.649.202;16.535.042;14.269.444;13.854.756;21.890.134;39.285.757;5.419.552;56.193.595;55.204.461;55.363.464;52.235.383;46.843.421;44.020.711;42.447.172;40.896.738;40.128.672;42.697.444;42.576.902;39.869.797;38.005.102;33.906.356;32.562.689;41.534.102;50.112.886;52.024.432;57.856.152;60.811.707;64.812.611;68.764.273;68.649.202;66.580.777;65.278.321;65.241.487;75.414.761;73.247.211;74.033.739;77.301.908;82.530.305
France;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21.425.996;21.538.828;21.298.485;2.263.993;26.201.027;27.733.164;30.190.666;31.851.217;32.395.672;34.755.291;34.667.055;35.525.607;36.791.325;37.772.083;41.705.228;48.157.848;51.580.402;57.805.004;60.593.469;61.983.253;62.099.697;61.423.125;59.721.388;59.322.254;61.256.043;6.536.386;66.879.403;68.186.037;65.400.811;65.476.775;69.819.176;84.055.614;8.627.793;88.749.329;91.741.949;94.555.055;96.163.266;96.970.022;98.153.121;98.761.564;98.528.337;98.161.875;11.490.004;11.278.574;1.113.631;10.977.403;11.310.798
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;19.817.844;38.912.382;48.167.098;8.000.765;76.455.191;72.597.495;6.935.379;67.389.774;61.286.955;4.905.762;38.853.349;3.117.433;24.835.488;3.031.823;39.927.792;39.720.662;34.136.538;32.669.055;31.937.121;30.584.068;38.094.776;41.372.055;41.016.133;40.699.198;42.824.435;63.281.633;52.512.889;41.623.628;40.988.956;37.865.195
Germany;18.811.777;16.686.637;15.705.143;20.561.889;21.810.273;20.210.323;18.810.424;18.077.472;17.935.647;17.670.612;16.511.505;1.630.565;15.851.133;166.209;16.638.594;17.262.295;18.055.041;20.730.319;20.805.569;18.711.402;17.660.809;17.740.426;17.961.906;17.326.166;18.523.355;23.659.306;25.081.258;26.034.977;27.368.866;28.243.689;30.135.038;33.613.711;36.438.177;37.965.751;38.658.178;3.922.932;39.087.201;40.108.059;40.524.931;39.193.367;40.736.303;3.948.549;41.862.576;45.512.365;47.874.942;55.287.511;58.109.574;59.206.529;59.808.635;60.349.213;59.238.799;58.061.561;59.823.106;63.344.326;64.964.894;67.120.191;66.396.722;63.687.053;65.160.251;72.336.274;81.008.922;78.457.972;79.803.562;77.435.095;74.520.346;71.215.919;68.282.224;64.026.225;60.809.267;58.701.059;68.035.175;68.076.818;64.997.332;62.877.686;6.388.822
Greece;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;86.443.109;9.019.528;97.514.621;11.558.262;12.418.604;12.788.068;14.450.301;16.149.749;17.400.647;18.899.849;18.790.195;19.164.274;20.055.755;16.549.946;17.468.913;19.148.915;18.643.321;18.805.694;2.438.922;22.713.452;22.843.665;27.057.819;29.723.325;34.064.615;406.258;47.278.915;47.806.817;53.152.028;57.873.949;60.665.177;74.186.225;75.736.129;81.095.659;10.170.302;99.682.052;10.038.662;10.372.417;1.025.989;10.078.523;10.284.298;10.885.406;11.053.475;10.787.131;10.425.857;10.549.313;10.985.894;10.533.419;10.463.716;11.090.731;12.848.185;14.784.617;17.507.556;1.642.785;18.050.955;1.828.236;18.000.055;18.367.482;18.262.305;18.955.279;18.369.059;20.992.691;19.780.558;17.844.083;16.515.437;15.089.135
